X,Y,FID,ID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,STATE_ID,ALT_NAME,ST_FIPS,OWNER,TTL_STAFF,BEDS,TRAUMA,HELIPAD,SHORT_NAME,ORGANIZATION
-8204425.8009,4979598.1329,267,6411030,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DR,MANHASSET,NY,11030,NOT AVAILABLE,(516) 562-0100,GENERAL ACUTE CARE,OPEN,764,NASSAU,36059,USA,40.7776359200001,-73.701610944,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.northshorelij.com/hospitals/location/north-shore-university-hospital,2951001H,NOT AVAILABLE,36,NON-PROFIT,-999,764,LEVEL I,Y,NORTH SHORE UNIVERSITY HOSPITAL,Northwell Health
-8197902.1955,4974169.5086,369,120511501,NYU WINTHROP-UNIVERSITY HOSPITAL,259 FIRST STREET,MINEOLA,NY,11501,NOT AVAILABLE,(516) 663-0333,GENERAL ACUTE CARE,OPEN,591,NASSAU,36059,USA,40.7406974780001,-73.6430083989999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/02/24 00:00:00,http://www.winthrop.org/,2908000H,NOT AVAILABLE,36,GOVERNMENT - STATE,-999,591,LEVEL I,N,NYU WINTHROP-UNIVERSITY HOSPITAL,NYU Langone Health
-8187964.6618,4972047.8782,269,6511554,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TPKE,EAST MEADOW,NY,11554,NOT AVAILABLE,(516) 572-0123,GENERAL ACUTE CARE,OPEN,530,NASSAU,36059,USA,40.7262555130001,-73.553738015,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.nuhealth.net,2950002H,NOT AVAILABLE,36,GOVERNMENT - DISTRICT/AUTHORITY,-999,530,LEVEL I,Y,NASSAU UNIVERSITY MEDICAL CENTER,Nassau Health Care Corporation
-8196547.5529,4960999.4403,270,7011510,SOUTH NASSAU COMMUNITIES HOSPITAL,1 HEALTHY WAY,OCEANSIDE,NY,11510,NOT AVAILABLE,(516) 632-3000,GENERAL ACUTE CARE,OPEN,455,NASSAU,36059,USA,40.6509979950001,-73.630839438,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.southnassau.org,2950001H,NOT AVAILABLE,36,NON-PROFIT,-999,455,LEVEL II,N,SOUTH NASSAU COMMUNITIES HOSPITAL,Mount Sinai Health System
-8196632.6424,4966505.4041,6128,6811530,MERCY MEDICAL CENTER,1000 N VILLAGE AVE,ROCKVILLE CENTRE,NY,11530,NOT AVAILABLE,(516) 705-2525,GENERAL ACUTE CARE,OPEN,375,NASSAU,36059,USA,40.6885130310001,-73.6316038099999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.mercymedicalcenter.chsli.org,2909000H,NOT AVAILABLE,36,NON-PROFIT,-999,375,NOT AVAILABLE,N,MERCY MEDICAL CENTER,Catholic Health Services of Long Island
-8200972.53,4983585.5461,6129,7411548,SAINT FRANCIS HOSPITAL,100 PORT WASHINGTON BLVD,ROSLYN,NY,11548,NOT AVAILABLE,(516) 562-6000,GENERAL ACUTE CARE,OPEN,364,NASSAU,36059,USA,40.804754732,-73.6705896829999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.stfrancisheartcenter.com/index.html,2953000H,ST. FRANCIS HOSPITAL OF ROSLYN,36,NON-PROFIT,-999,364,NOT AVAILABLE,N,SAINT FRANCIS HOSPITAL,Catholic Health Services of Long Island
-8202721.3053,4965421.2087,6126,6311580,LONG ISLAND JEWISH VALLEY STREAM,900 FRANKLIN AVE,VALLEY STREAM,NY,11580,NOT AVAILABLE,(516) 256-6000,GENERAL ACUTE CARE,OPEN,330,NASSAU,36059,USA,40.6811275040001,-73.686299199,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,https://www.northwell.edu/find-care/locations/long-island-jewish-valley-stream,2910000H,FRANKLIN HOSPITAL,36,NON-PROFIT,-999,330,NOT AVAILABLE,N,LONG ISLAND JEWISH VALLEY STREAM,Northwell Health
-8181377.7294,4973954.4504,3662,30511714,ST JOHN'S EPISCOPAL HOSPITAL SOUTH SHORE,"700 HICKSVILLE RD, STE 210",BETHPAGE,NY,11714,NOT AVAILABLE,NOT AVAILABLE,GENERAL ACUTE CARE,OPEN,-999,NASSAU,36059,USA,40.739233717,-73.494566595,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2019/04/16 00:00:00,http://www.ehs.org/,7001024H,NOT AVAILABLE,36,NON-PROFIT,-999,257,NOT AVAILABLE,N,ST JOHN'S EPISCOPAL HOSPITAL SOUTH ,Episcopal Health Services
-8195606.4833,4993332.9787,342,114511542,GLEN COVE HOSPITAL,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NOT AVAILABLE,(516) 674-7588,GENERAL ACUTE CARE,OPEN,247,NASSAU,36059,USA,40.871001397,-73.622385666,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/02/11 00:00:00,https://www.northwell.edu/find-care/locations/glen-cove-hospital,2901000H,NOT AVAILABLE,36,NON-PROFIT,-999,247,NOT AVAILABLE,N,GLEN COVE HOSPITAL,Northwell Health
-8179593.0678,4979203.9191,2852,6911803,PLAINVIEW HOSPITAL,888 OLD COUNTRY RD,PLAINVIEW,NY,11803,NOT AVAILABLE,(516) 719-2222,GENERAL ACUTE CARE,OPEN,219,NASSAU,36059,USA,40.7749542290001,-73.4785347069999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.northshorelij.com/hospitals/location/plainview-hospital,2952005H,NOT AVAILABLE,36,NON-PROFIT,-999,219,NOT AVAILABLE,N,PLAINVIEW HOSPITAL,Northwell Health
-8179613.4936,4972123.6417,6127,6711714,ST. JOSEPH HOSPITAL,4295 HEMPSTEAD TURNPIKE,BETHPAGE,NY,11714,NOT AVAILABLE,(516) 579-6000,GENERAL ACUTE CARE,OPEN,203,NASSAU,36059,USA,40.72677129,-73.4787181949999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/02/10 00:00:00,http://stjosephhospital.chsli.org/,2952006H,NEW ISLAND HOSPITAL,36,NON-PROFIT,-999,203,NOT AVAILABLE,N,ST. JOSEPH HOSPITAL,Catholic Health Services of Long Island
-8182947.2737,4984485.5599,2851,6611791,SYOSSET HOSPITAL,221 JERICHO TPKE,SYOSSET,NY,11791,NOT AVAILABLE,(516) 496-6400,GENERAL ACUTE CARE,OPEN,103,NASSAU,36059,USA,40.810874287,-73.508666051,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY,2014/02/10 00:00:00,http://www.northshorelij.com/hospitals/location/syosset-hospital,0550,NOT AVAILABLE,36,NON-PROFIT,-999,103,NOT AVAILABLE,N,SYOSSET HOSPITAL,Northwell Health
-8232434.1555,4981381.7024,2892,18710001,MOUNT SINAI HOSPITAL,1 GUSTAVE L LEVY PL,NEW YORK,NY,10001,NOT AVAILABLE,(212) 241-7005,GENERAL ACUTE CARE,OPEN,1144,NEW YORK,36061,USA,40.7897675310001,-73.9532142739999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2014/02/10 00:00:00,http://www.mountsinai.org,7002024H,NOT AVAILABLE,36,NON-PROFIT,-999,1144,NOT AVAILABLE,N,MOUNT SINAI HOSPITAL,Mount Sinai Health System
-8231039.5725,4988925.1937,364,118810032,NEW YORK PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,622 WEST 168TH STREET,NEW YORK,NY,10032,NOT AVAILABLE,(212) 305-2500,GENERAL ACUTE CARE,OPEN,1007,NEW YORK,36061,USA,40.841052882,-73.940686522,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/02/24 00:00:00,http://www.nyp.org/locations/newyork-presbyterian-columbia-university-medical-center,7002054H,NOT AVAILABLE,36,NON-PROFIT,-999,1007,NOT AVAILABLE,N,NEW YORK PRESBYTERIAN HOSPITAL - CO,NewYork-Presbyterian
-8234901.8272,4973967.1411,7400,114010016,BELLEVUE HOSPITAL CENTER,462 FIRST AVENUE,NEW YORK,NY,10016,NOT AVAILABLE,(212) 562-4132,GENERAL ACUTE CARE,OPEN,912,NEW YORK,36061,USA,40.739320095,-73.975381746,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/02/11 00:00:00,http://www.nychealthandhospitals.org/bellevue/html/home/home.shtml,7002001H,NOT AVAILABLE,36,GOVERNMENT - LOCAL,-999,912,"LEVEL I, LEVEL II PEDIATRIC",N,BELLEVUE HOSPITAL CENTER,NYC Health + Hospitals
-8232558.6094,4977674.6188,365,118910021,NEW YORK PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,525 EAST 68TH STREET,NEW YORK,NY,10021,NOT AVAILABLE,(212) 746-5454,GENERAL ACUTE CARE,OPEN,862,NEW YORK,36061,USA,40.7645499400001,-73.954332262,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/02/24 00:00:00,http://www.nyp.org/,7002025H,NOT AVAILABLE,36,NON-PROFIT,-999,862,"LEVEL I, LEVEL II PEDIATRIC",N,NEW YORK PRESBYTERIAN HOSPITAL - NE,NewYork-Presbyterian
-8234740.1454,4974367.7727,2927,119410016,NYU HOSPITALS CENTER,550 FIRST AVENUE,NEW YORK,NY,10016,NOT AVAILABLE,(212) 263-5500,GENERAL ACUTE CARE,OPEN,844,NEW YORK,36061,USA,40.7420469040001,-73.9739293339999,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/02/24 00:00:00,http://nyulangone.org/locations/tisch-hospital,7002053H,NOT AVAILABLE,36,NOT AVAILABLE,-999,844,NOT AVAILABLE,N,NYU HOSPITALS CENTER,NYU Langone Health
-8235613.0512,4973054.0321,2936,121210003,MOUNT SINAI BETH ISRAEL,FIRST AVE AT 16TH STREET,NEW YORK,NY,10003,NOT AVAILABLE,(212) 420-2873,GENERAL ACUTE CARE,OPEN,825,NEW YORK,36061,USA,40.733104806,-73.98177078,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,https://profiles.health.ny.gov/hospital/county_or_region/,2019/08/20 00:00:00,IMAGERY/OTHER,2015/02/24 00:00:00,http://www.bethisraelny.org/,7002002H,NOT AVAILABLE,36,NON-PROFIT,-999,825,NOT AVAILABLE,N,MOUNT SINAI BETH ISRAEL,Mount Sinai Health System
